ogno,ogtype,ogname,ogcity,ogstate,ogpin,ogadd
1,Hospital,(Mmg Hospital) District Hospital,Ghaziabad,Uttar Pradesh,201001,"Nr Ghanta Ghar, G T Rd, Ghanta Ghar"
2,Hospital,Dr.Mukhi's Raj Hospital,Mumbai,Maharashtra,400080,"109/1 Saraswati Sadan, Chs, Devi Dayal Road, Opposite Jalaram Ashish, Near T Ward Office, Mulund West"
3,Hospital,111 Save Life Hospital,West Singhbhum,Jharkhand,833214,Sraikela Kharsawa
4,Hospital,7 Air Force Hospital,Kanpur Nagar,Uttar Pradesh,208001,"Nathu Singh Road, Kanpur"
5,Super Speciality Hospital,7 Star Superspeciality Hospital,East Godavari,Andhra Pradesh,533001,"20-1-61, Opposite L. I. C. Building, Main Road"
6,Hospital,A B C Hospital,Tiruchirappalli,Tamil Nadu,620018,"Assured Best Care Hospital P Ltd, No. 1, Malligai Salaiannamalai Nagar, Annamalai Nagar Main Road,"
7,Ortho Hospital,A Care Orthopaedic and General Hospital,Thane,Maharashtra,401107,"G-1, Giriral Tower,Sai Baba Nagar,Opposite New Petrol Pump, Bhy- Miral Road Highway,Miraroad."
8,Hospital,A D J Hospital,Tirunelveli,Tamil Nadu,627657,Main Road
9,Nurshing Home,A Das Nursing Home,Allahabad,Uttar Pradesh,211002,"129, Tagore Town, Allahabad"
10,Nurshing Home,A G Nursing Home,Jorhat,Assam,785001,"A.T.Road, Tarajan"
11,Nurshing Home,A Hamid S Clinic Maternity and Nursing Home,Kolkata,West Bengal,700018,"T-415, Dr. A.K.Road, Kolkata"
12,Hospital,A J Hospital,Nagapattinam,Tamil Nadu,611002,"434, Public Road, Nagore,"
13,Hospital,A J Manju Hospital,Jhalawar,Rajasthan,326001,"Khanpur, Jhalawar"
14,Nurshing Home,A K C Nursing Home,Thanjavur,Tamil Nadu,613001,26 Shivaji Nagar
15,Hospital,A K G Memorial Co Operative Hospital,Kannur,Kerala,670002,Talap
16,Hospital,A K G Surgical Center,Aligarh,Uttar Pradesh,202001,"No. 225, Avas Vikas Colony, Masoodabad Chouraha, G.T.Road,"
17,Nurshing Home,A K Nursing Home,Patna,Bihar,800016,Rajendra Nagar
18,Hospital,A M Hospital,Kollam,Kerala,690518,Adjacent To P.O
19,Hospital,A N Beach Hospital,Visakhapatnam,Andhra Pradesh,530002,"Door No. 15/9/13-24, R. K Beach Road Karimnagar Maharanipeta,"
20,Hospital,A N Magadh Medical College and Hospital,Gaya,Bihar,823001,"Anuragh Narayan Magadh Medical college and Hospital, Sher Ghati Road, Gaya"
21,Hospital,A R Hospital,Ramanathapuram,Tamil Nadu,623501,"46/6, Maduri Road, Ramanathapuram,"
22,Nurshing Home,A R K Nursing Home,Krishnagiri,Tamil Nadu,635001,"No.75/29-A,Iv Cross,Co-Operative Colony"
23,Hospital,"A R Mittal Hospital,",Panipat,Haryana,132103,"A R Mittal Hospital,Gohana Road"
24,Hospital,A S Dahiya Hospital / A.S Dhaiya Hospital,Panipat,Haryana,132103,"2, Arya Nagar, Asandh Road"
25,Ortho Hospital,A Super Speciality Orthopaedics Hospital,Vadodara,Gujarat,390018,"5/B, Nivrutti Colony, Aryakanya Vidyalaya Road, Karelibaug"
26,Hospital,A V Hospital,Mysuru,Karnataka,570011,No. 73/B Vinaya Marga Siddarthanagar
